date,ambulance,heat stroke,kw_group,breathing problems,asthma attack,air quality,chest pain,hospital wait time,emergency room
2014-03-30,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-04-06,,,breathing problems_asthma attack,0.0,53.0,,,,
2014-04-06,31.0,2.0,ambulance_heat stroke,,,,,,
2014-04-06,,,air quality_chest pain,,,9.0,32.0,,
2014-04-06,,,hospital wait time_emergency room,,,,,0.0,34.0
2014-04-13,,,hospital wait time_emergency room,,,,,0.0,57.0
2014-04-13,,,breathing problems_asthma attack,64.0,0.0,,,,
2014-04-13,27.0,0.0,ambulance_heat stroke,,,,,,
2014-04-13,,,air quality_chest pain,,,7.0,32.0,,
2014-04-20,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-04-20,28.0,2.0,ambulance_heat stroke,,,,,,
2014-04-20,,,air quality_chest pain,,,9.0,31.0,,
2014-04-20,,,hospital wait time_emergency room,,,,,0.0,50.0
2014-04-27,,,air quality_chest pain,,,7.0,31.0,,
2014-04-27,29.0,0.0,ambulance_heat stroke,,,,,,
2014-04-27,,,hospital wait time_emergency room,,,,,0.0,41.0
2014-04-27,,,breathing problems_asthma attack,49.0,56.0,,,,
2014-05-04,,,hospital wait time_emergency room,,,,,0.0,58.0
2014-05-04,32.0,2.0,ambulance_heat stroke,,,,,,
2014-05-04,,,breathing problems_asthma attack,82.0,0.0,,,,
2014-05-04,,,air quality_chest pain,,,7.0,30.0,,
2014-05-11,32.0,5.0,ambulance_heat stroke,,,,,,
2014-05-11,,,hospital wait time_emergency room,,,,,0.0,54.0
2014-05-11,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-05-11,,,air quality_chest pain,,,8.0,31.0,,
2014-05-18,,,air quality_chest pain,,,7.0,33.0,,
2014-05-18,,,hospital wait time_emergency room,,,,,0.0,0.0
2014-05-18,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-05-18,24.0,4.0,ambulance_heat stroke,,,,,,
2014-05-25,,,hospital wait time_emergency room,,,,,0.0,38.0
2014-05-25,,,breathing problems_asthma attack,70.0,0.0,,,,
2014-05-25,34.0,12.0,ambulance_heat stroke,,,,,,
2014-05-25,,,air quality_chest pain,,,7.0,27.0,,
2014-06-01,,,breathing problems_asthma attack,0.0,63.0,,,,
2014-06-01,,,hospital wait time_emergency room,,,,,0.0,55.0
2014-06-01,,,air quality_chest pain,,,9.0,30.0,,
2014-06-01,36.0,12.0,ambulance_heat stroke,,,,,,
2014-06-08,,,air quality_chest pain,,,11.0,29.0,,
2014-06-08,,,hospital wait time_emergency room,,,,,0.0,47.0
2014-06-08,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-06-08,31.0,9.0,ambulance_heat stroke,,,,,,
2014-06-15,,,air quality_chest pain,,,6.0,30.0,,
2014-06-15,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-06-15,,,hospital wait time_emergency room,,,,,0.0,0.0
2014-06-15,29.0,7.0,ambulance_heat stroke,,,,,,
2014-06-22,,,hospital wait time_emergency room,,,,,0.0,0.0
2014-06-22,,,breathing problems_asthma attack,0.0,62.0,,,,
2014-06-22,,,air quality_chest pain,,,6.0,27.0,,
2014-06-22,31.0,15.0,ambulance_heat stroke,,,,,,
2014-06-29,,,hospital wait time_emergency room,,,,,0.0,27.0
2014-06-29,,,air quality_chest pain,,,8.0,31.0,,
2014-06-29,,,breathing problems_asthma attack,62.0,0.0,,,,
2014-06-29,27.0,30.0,ambulance_heat stroke,,,,,,
2014-07-06,,,breathing problems_asthma attack,62.0,0.0,,,,
2014-07-06,,,hospital wait time_emergency room,,,,,0.0,60.0
2014-07-06,,,air quality_chest pain,,,8.0,28.0,,
2014-07-06,30.0,11.0,ambulance_heat stroke,,,,,,
2014-07-13,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-07-13,,,air quality_chest pain,,,9.0,29.0,,
2014-07-13,30.0,10.0,ambulance_heat stroke,,,,,,
2014-07-13,,,hospital wait time_emergency room,,,,,0.0,48.0
2014-07-20,,,air quality_chest pain,,,8.0,29.0,,
2014-07-20,,,breathing problems_asthma attack,63.0,0.0,,,,
2014-07-20,,,hospital wait time_emergency room,,,,,0.0,50.0
2014-07-20,27.0,10.0,ambulance_heat stroke,,,,,,
2014-07-27,,,hospital wait time_emergency room,,,,,0.0,48.0
2014-07-27,,,air quality_chest pain,,,8.0,33.0,,
2014-07-27,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-07-27,32.0,3.0,ambulance_heat stroke,,,,,,
2014-08-03,,,air quality_chest pain,,,7.0,30.0,,
2014-08-03,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-08-03,28.0,7.0,ambulance_heat stroke,,,,,,
2014-08-03,,,hospital wait time_emergency room,,,,,0.0,62.0
2014-08-10,,,breathing problems_asthma attack,64.0,0.0,,,,
2014-08-10,35.0,7.0,ambulance_heat stroke,,,,,,
2014-08-10,,,hospital wait time_emergency room,,,,,33.0,45.0
2014-08-10,,,air quality_chest pain,,,7.0,28.0,,
2014-08-17,,,air quality_chest pain,,,7.0,28.0,,
2014-08-17,,,breathing problems_asthma attack,92.0,0.0,,,,
2014-08-17,,,hospital wait time_emergency room,,,,,0.0,41.0
2014-08-17,34.0,4.0,ambulance_heat stroke,,,,,,
2014-08-24,30.0,7.0,ambulance_heat stroke,,,,,,
2014-08-24,,,air quality_chest pain,,,7.0,31.0,,
2014-08-24,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-08-24,,,hospital wait time_emergency room,,,,,0.0,51.0
2014-08-31,29.0,6.0,ambulance_heat stroke,,,,,,
2014-08-31,,,hospital wait time_emergency room,,,,,0.0,40.0
2014-08-31,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-08-31,,,air quality_chest pain,,,7.0,28.0,,
2014-09-07,36.0,2.0,ambulance_heat stroke,,,,,,
2014-09-07,,,air quality_chest pain,,,8.0,28.0,,
2014-09-07,,,hospital wait time_emergency room,,,,,0.0,36.0
2014-09-07,,,breathing problems_asthma attack,53.0,0.0,,,,
2014-09-14,,,hospital wait time_emergency room,,,,,0.0,33.0
2014-09-14,,,air quality_chest pain,,,8.0,34.0,,
2014-09-14,,,breathing problems_asthma attack,79.0,0.0,,,,
2014-09-14,31.0,0.0,ambulance_heat stroke,,,,,,
2014-09-21,,,air quality_chest pain,,,7.0,31.0,,
2014-09-21,,,breathing problems_asthma attack,55.0,0.0,,,,
2014-09-21,31.0,4.0,ambulance_heat stroke,,,,,,
2014-09-21,,,hospital wait time_emergency room,,,,,0.0,33.0
2014-09-28,,,air quality_chest pain,,,8.0,32.0,,
2014-09-28,28.0,3.0,ambulance_heat stroke,,,,,,
2014-09-28,,,hospital wait time_emergency room,,,,,0.0,47.0
2014-09-28,,,breathing problems_asthma attack,54.0,0.0,,,,
2014-10-05,,,hospital wait time_emergency room,,,,,0.0,48.0
2014-10-05,29.0,2.0,ambulance_heat stroke,,,,,,
2014-10-05,,,air quality_chest pain,,,5.0,31.0,,
2014-10-05,,,breathing problems_asthma attack,53.0,0.0,,,,
2014-10-12,25.0,0.0,ambulance_heat stroke,,,,,,
2014-10-12,,,hospital wait time_emergency room,,,,,0.0,41.0
2014-10-12,,,air quality_chest pain,,,8.0,35.0,,
2014-10-12,,,breathing problems_asthma attack,73.0,78.0,,,,
2014-10-19,,,air quality_chest pain,,,10.0,31.0,,
2014-10-19,26.0,0.0,ambulance_heat stroke,,,,,,
2014-10-19,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-10-19,,,hospital wait time_emergency room,,,,,0.0,44.0
2014-10-26,,,breathing problems_asthma attack,79.0,50.0,,,,
2014-10-26,23.0,0.0,ambulance_heat stroke,,,,,,
2014-10-26,,,air quality_chest pain,,,9.0,33.0,,
2014-10-26,,,hospital wait time_emergency room,,,,,0.0,62.0
2014-11-02,31.0,0.0,ambulance_heat stroke,,,,,,
2014-11-02,,,air quality_chest pain,,,13.0,29.0,,
2014-11-02,,,hospital wait time_emergency room,,,,,0.0,63.0
2014-11-02,,,breathing problems_asthma attack,0.0,65.0,,,,
2014-11-09,,,hospital wait time_emergency room,,,,,0.0,40.0
2014-11-09,,,air quality_chest pain,,,8.0,33.0,,
2014-11-09,,,breathing problems_asthma attack,0.0,49.0,,,,
2014-11-09,25.0,0.0,ambulance_heat stroke,,,,,,
2014-11-16,,,hospital wait time_emergency room,,,,,0.0,50.0
2014-11-16,,,breathing problems_asthma attack,64.0,0.0,,,,
2014-11-16,26.0,0.0,ambulance_heat stroke,,,,,,
2014-11-16,,,air quality_chest pain,,,10.0,30.0,,
2014-11-23,,,breathing problems_asthma attack,54.0,52.0,,,,
2014-11-23,,,hospital wait time_emergency room,,,,,0.0,48.0
2014-11-23,26.0,0.0,ambulance_heat stroke,,,,,,
2014-11-23,,,air quality_chest pain,,,8.0,31.0,,
2014-11-30,,,air quality_chest pain,,,9.0,28.0,,
2014-11-30,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-11-30,25.0,0.0,ambulance_heat stroke,,,,,,
2014-11-30,,,hospital wait time_emergency room,,,,,0.0,41.0
2014-12-07,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-12-07,,,air quality_chest pain,,,8.0,33.0,,
2014-12-07,21.0,0.0,ambulance_heat stroke,,,,,,
2014-12-07,,,hospital wait time_emergency room,,,,,21.0,37.0
2014-12-14,,,air quality_chest pain,,,7.0,33.0,,
2014-12-14,,,hospital wait time_emergency room,,,,,0.0,48.0
2014-12-14,,,breathing problems_asthma attack,0.0,0.0,,,,
2014-12-14,22.0,0.0,ambulance_heat stroke,,,,,,
2014-12-21,17.0,0.0,ambulance_heat stroke,,,,,,
2014-12-21,,,hospital wait time_emergency room,,,,,0.0,33.0
2014-12-21,,,breathing problems_asthma attack,57.0,0.0,,,,
2014-12-21,,,air quality_chest pain,,,5.0,31.0,,
2014-12-28,20.0,0.0,ambulance_heat stroke,,,,,,
2014-12-28,,,air quality_chest pain,,,5.0,36.0,,
2014-12-28,,,hospital wait time_emergency room,,,,,0.0,50.0
2014-12-28,,,breathing problems_asthma attack,78.0,0.0,,,,
2015-01-04,,,air quality_chest pain,,,11.0,35.0,,
2015-01-04,,,hospital wait time_emergency room,,,,,0.0,47.0
2015-01-04,,,breathing problems_asthma attack,0.0,61.0,,,,
2015-01-04,30.0,0.0,ambulance_heat stroke,,,,,,
2015-01-11,,,hospital wait time_emergency room,,,,,0.0,40.0
2015-01-11,28.0,0.0,ambulance_heat stroke,,,,,,
2015-01-11,,,air quality_chest pain,,,9.0,34.0,,
2015-01-11,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-01-18,29.0,0.0,ambulance_heat stroke,,,,,,
2015-01-18,,,hospital wait time_emergency room,,,,,0.0,39.0
2015-01-18,,,air quality_chest pain,,,7.0,38.0,,
2015-01-18,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-01-25,,,hospital wait time_emergency room,,,,,0.0,69.0
2015-01-25,,,air quality_chest pain,,,8.0,36.0,,
2015-01-25,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-01-25,26.0,0.0,ambulance_heat stroke,,,,,,
2015-02-01,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-02-01,,,hospital wait time_emergency room,,,,,0.0,24.0
2015-02-01,35.0,0.0,ambulance_heat stroke,,,,,,
2015-02-01,,,air quality_chest pain,,,9.0,37.0,,
2015-02-08,,,hospital wait time_emergency room,,,,,0.0,52.0
2015-02-08,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-02-08,,,air quality_chest pain,,,9.0,33.0,,
2015-02-08,33.0,0.0,ambulance_heat stroke,,,,,,
2015-02-15,,,air quality_chest pain,,,6.0,35.0,,
2015-02-15,,,breathing problems_asthma attack,55.0,47.0,,,,
2015-02-15,30.0,0.0,ambulance_heat stroke,,,,,,
2015-02-15,,,hospital wait time_emergency room,,,,,0.0,31.0
2015-02-22,,,breathing problems_asthma attack,61.0,0.0,,,,
2015-02-22,,,air quality_chest pain,,,9.0,34.0,,
2015-02-22,31.0,0.0,ambulance_heat stroke,,,,,,
2015-02-22,,,hospital wait time_emergency room,,,,,0.0,51.0
2015-03-01,,,air quality_chest pain,,,10.0,36.0,,
2015-03-01,,,breathing problems_asthma attack,67.0,0.0,,,,
2015-03-01,35.0,0.0,ambulance_heat stroke,,,,,,
2015-03-01,,,hospital wait time_emergency room,,,,,0.0,45.0
2015-03-08,29.0,2.0,ambulance_heat stroke,,,,,,
2015-03-08,,,hospital wait time_emergency room,,,,,0.0,55.0
2015-03-08,,,air quality_chest pain,,,10.0,36.0,,
2015-03-08,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-03-15,,,air quality_chest pain,,,8.0,32.0,,
2015-03-15,33.0,0.0,ambulance_heat stroke,,,,,,
2015-03-15,,,breathing problems_asthma attack,0.0,52.0,,,,
2015-03-15,,,hospital wait time_emergency room,,,,,0.0,58.0
2015-03-22,,,hospital wait time_emergency room,,,,,0.0,52.0
2015-03-22,,,air quality_chest pain,,,11.0,32.0,,
2015-03-22,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-03-22,26.0,0.0,ambulance_heat stroke,,,,,,
2015-03-29,,,breathing problems_asthma attack,0.0,84.0,,,,
2015-03-29,,,air quality_chest pain,,,7.0,31.0,,
2015-03-29,,,hospital wait time_emergency room,,,,,0.0,43.0
2015-03-29,26.0,0.0,ambulance_heat stroke,,,,,,
2015-04-05,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-04-05,,,hospital wait time_emergency room,,,,,0.0,42.0
2015-04-05,29.0,0.0,ambulance_heat stroke,,,,,,
2015-04-05,,,air quality_chest pain,,,8.0,35.0,,
2015-04-12,,,air quality_chest pain,,,8.0,31.0,,
2015-04-12,30.0,0.0,ambulance_heat stroke,,,,,,
2015-04-12,,,breathing problems_asthma attack,80.0,0.0,,,,
2015-04-12,,,hospital wait time_emergency room,,,,,0.0,30.0
2015-04-19,,,hospital wait time_emergency room,,,,,0.0,45.0
2015-04-19,30.0,0.0,ambulance_heat stroke,,,,,,
2015-04-19,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-04-19,,,air quality_chest pain,,,10.0,34.0,,
2015-04-26,,,air quality_chest pain,,,7.0,30.0,,
2015-04-26,,,hospital wait time_emergency room,,,,,0.0,30.0
2015-04-26,,,breathing problems_asthma attack,0.0,56.0,,,,
2015-04-26,29.0,3.0,ambulance_heat stroke,,,,,,
2015-05-03,,,breathing problems_asthma attack,0.0,96.0,,,,
2015-05-03,,,hospital wait time_emergency room,,,,,0.0,54.0
2015-05-03,,,air quality_chest pain,,,9.0,33.0,,
2015-05-03,31.0,10.0,ambulance_heat stroke,,,,,,
2015-05-10,,,hospital wait time_emergency room,,,,,0.0,55.0
2015-05-10,,,air quality_chest pain,,,11.0,31.0,,
2015-05-10,30.0,8.0,ambulance_heat stroke,,,,,,
2015-05-10,,,breathing problems_asthma attack,68.0,57.0,,,,
2015-05-17,,,air quality_chest pain,,,7.0,29.0,,
2015-05-17,28.0,8.0,ambulance_heat stroke,,,,,,
2015-05-17,,,breathing problems_asthma attack,50.0,0.0,,,,
2015-05-17,,,hospital wait time_emergency room,,,,,0.0,48.0
2015-05-24,,,air quality_chest pain,,,10.0,28.0,,
2015-05-24,30.0,12.0,ambulance_heat stroke,,,,,,
2015-05-24,,,breathing problems_asthma attack,64.0,0.0,,,,
2015-05-24,,,hospital wait time_emergency room,,,,,0.0,54.0
2015-05-31,31.0,4.0,ambulance_heat stroke,,,,,,
2015-05-31,,,air quality_chest pain,,,10.0,29.0,,
2015-05-31,,,hospital wait time_emergency room,,,,,0.0,40.0
2015-05-31,,,breathing problems_asthma attack,95.0,0.0,,,,
2015-06-07,30.0,4.0,ambulance_heat stroke,,,,,,
2015-06-07,,,air quality_chest pain,,,8.0,31.0,,
2015-06-07,,,hospital wait time_emergency room,,,,,0.0,43.0
2015-06-07,,,breathing problems_asthma attack,46.0,46.0,,,,
2015-06-14,,,hospital wait time_emergency room,,,,,0.0,43.0
2015-06-14,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-06-14,28.0,8.0,ambulance_heat stroke,,,,,,
2015-06-14,,,air quality_chest pain,,,7.0,31.0,,
2015-06-21,,,hospital wait time_emergency room,,,,,0.0,51.0
2015-06-21,30.0,10.0,ambulance_heat stroke,,,,,,
2015-06-21,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-06-21,,,air quality_chest pain,,,6.0,30.0,,
2015-06-28,,,hospital wait time_emergency room,,,,,0.0,0.0
2015-06-28,28.0,7.0,ambulance_heat stroke,,,,,,
2015-06-28,,,breathing problems_asthma attack,50.0,0.0,,,,
2015-06-28,,,air quality_chest pain,,,10.0,33.0,,
2015-07-05,,,air quality_chest pain,,,25.0,29.0,,
2015-07-05,,,breathing problems_asthma attack,0.0,50.0,,,,
2015-07-05,36.0,15.0,ambulance_heat stroke,,,,,,
2015-07-05,,,hospital wait time_emergency room,,,,,0.0,33.0
2015-07-12,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-07-12,32.0,24.0,ambulance_heat stroke,,,,,,
2015-07-12,,,hospital wait time_emergency room,,,,,0.0,48.0
2015-07-12,,,air quality_chest pain,,,13.0,30.0,,
2015-07-19,,,hospital wait time_emergency room,,,,,0.0,44.0
2015-07-19,,,breathing problems_asthma attack,67.0,53.0,,,,
2015-07-19,27.0,22.0,ambulance_heat stroke,,,,,,
2015-07-19,,,air quality_chest pain,,,10.0,23.0,,
2015-07-26,26.0,44.0,ambulance_heat stroke,,,,,,
2015-07-26,,,air quality_chest pain,,,13.0,30.0,,
2015-07-26,,,hospital wait time_emergency room,,,,,0.0,51.0
2015-07-26,,,breathing problems_asthma attack,51.0,55.0,,,,
2015-08-02,,,hospital wait time_emergency room,,,,,0.0,41.0
2015-08-02,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-08-02,34.0,8.0,ambulance_heat stroke,,,,,,
2015-08-02,,,air quality_chest pain,,,9.0,32.0,,
2015-08-09,,,air quality_chest pain,,,10.0,28.0,,
2015-08-09,,,breathing problems_asthma attack,0.0,47.0,,,,
2015-08-09,,,hospital wait time_emergency room,,,,,0.0,45.0
2015-08-09,34.0,8.0,ambulance_heat stroke,,,,,,
2015-08-16,31.0,24.0,ambulance_heat stroke,,,,,,
2015-08-16,,,air quality_chest pain,,,12.0,29.0,,
2015-08-16,,,hospital wait time_emergency room,,,,,0.0,38.0
2015-08-16,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-08-23,,,air quality_chest pain,,,22.0,30.0,,
2015-08-23,31.0,4.0,ambulance_heat stroke,,,,,,
2015-08-23,,,hospital wait time_emergency room,,,,,0.0,28.0
2015-08-23,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-08-30,,,hospital wait time_emergency room,,,,,0.0,39.0
2015-08-30,,,breathing problems_asthma attack,55.0,0.0,,,,
2015-08-30,,,air quality_chest pain,,,12.0,31.0,,
2015-08-30,29.0,14.0,ambulance_heat stroke,,,,,,
2015-09-06,31.0,20.0,ambulance_heat stroke,,,,,,
2015-09-06,,,hospital wait time_emergency room,,,,,0.0,47.0
2015-09-06,,,air quality_chest pain,,,8.0,30.0,,
2015-09-06,,,breathing problems_asthma attack,0.0,45.0,,,,
2015-09-13,,,hospital wait time_emergency room,,,,,0.0,50.0
2015-09-13,,,air quality_chest pain,,,8.0,32.0,,
2015-09-13,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-09-13,29.0,4.0,ambulance_heat stroke,,,,,,
2015-09-20,,,hospital wait time_emergency room,,,,,0.0,47.0
2015-09-20,,,air quality_chest pain,,,10.0,29.0,,
2015-09-20,27.0,2.0,ambulance_heat stroke,,,,,,
2015-09-20,,,breathing problems_asthma attack,44.0,0.0,,,,
2015-09-27,,,breathing problems_asthma attack,0.0,59.0,,,,
2015-09-27,,,hospital wait time_emergency room,,,,,0.0,30.0
2015-09-27,26.0,0.0,ambulance_heat stroke,,,,,,
2015-09-27,,,air quality_chest pain,,,10.0,30.0,,
2015-10-04,,,air quality_chest pain,,,7.0,35.0,,
2015-10-04,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-10-04,,,hospital wait time_emergency room,,,,,0.0,51.0
2015-10-04,28.0,2.0,ambulance_heat stroke,,,,,,
2015-10-11,,,air quality_chest pain,,,6.0,31.0,,
2015-10-11,,,hospital wait time_emergency room,,,,,0.0,40.0
2015-10-11,,,breathing problems_asthma attack,53.0,44.0,,,,
2015-10-11,22.0,0.0,ambulance_heat stroke,,,,,,
2015-10-18,,,air quality_chest pain,,,7.0,31.0,,
2015-10-18,,,hospital wait time_emergency room,,,,,0.0,39.0
2015-10-18,28.0,0.0,ambulance_heat stroke,,,,,,
2015-10-18,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-10-25,24.0,2.0,ambulance_heat stroke,,,,,,
2015-10-25,,,breathing problems_asthma attack,0.0,49.0,,,,
2015-10-25,,,air quality_chest pain,,,7.0,37.0,,
2015-10-25,,,hospital wait time_emergency room,,,,,0.0,43.0
2015-11-01,,,air quality_chest pain,,,6.0,35.0,,
2015-11-01,,,hospital wait time_emergency room,,,,,0.0,47.0
2015-11-01,,,breathing problems_asthma attack,56.0,57.0,,,,
2015-11-01,25.0,0.0,ambulance_heat stroke,,,,,,
2015-11-08,,,hospital wait time_emergency room,,,,,0.0,47.0
2015-11-08,,,air quality_chest pain,,,8.0,34.0,,
2015-11-08,,,breathing problems_asthma attack,78.0,43.0,,,,
2015-11-08,23.0,0.0,ambulance_heat stroke,,,,,,
2015-11-15,36.0,0.0,ambulance_heat stroke,,,,,,
2015-11-15,,,air quality_chest pain,,,10.0,33.0,,
2015-11-15,,,breathing problems_asthma attack,55.0,0.0,,,,
2015-11-15,,,hospital wait time_emergency room,,,,,0.0,37.0
2015-11-22,,,hospital wait time_emergency room,,,,,18.0,47.0
2015-11-22,,,breathing problems_asthma attack,61.0,41.0,,,,
2015-11-22,,,air quality_chest pain,,,8.0,32.0,,
2015-11-22,28.0,0.0,ambulance_heat stroke,,,,,,
2015-11-29,24.0,0.0,ambulance_heat stroke,,,,,,
2015-11-29,,,breathing problems_asthma attack,40.0,59.0,,,,
2015-11-29,,,air quality_chest pain,,,11.0,33.0,,
2015-11-29,,,hospital wait time_emergency room,,,,,0.0,44.0
2015-12-06,,,hospital wait time_emergency room,,,,,19.0,35.0
2015-12-06,,,breathing problems_asthma attack,43.0,52.0,,,,
2015-12-06,,,air quality_chest pain,,,12.0,32.0,,
2015-12-06,28.0,2.0,ambulance_heat stroke,,,,,,
2015-12-13,,,air quality_chest pain,,,9.0,34.0,,
2015-12-13,,,hospital wait time_emergency room,,,,,26.0,74.0
2015-12-13,23.0,0.0,ambulance_heat stroke,,,,,,
2015-12-13,,,breathing problems_asthma attack,0.0,0.0,,,,
2015-12-20,18.0,0.0,ambulance_heat stroke,,,,,,
2015-12-20,,,hospital wait time_emergency room,,,,,0.0,50.0
2015-12-20,,,air quality_chest pain,,,7.0,32.0,,
2015-12-20,,,breathing problems_asthma attack,75.0,0.0,,,,
2015-12-27,18.0,0.0,ambulance_heat stroke,,,,,,
2015-12-27,,,hospital wait time_emergency room,,,,,32.0,63.0
2015-12-27,,,air quality_chest pain,,,7.0,40.0,,
2015-12-27,,,breathing problems_asthma attack,66.0,0.0,,,,
2016-01-03,,,breathing problems_asthma attack,0.0,0.0,,,,
2016-01-03,,,air quality_chest pain,,,10.0,39.0,,
2016-01-03,33.0,0.0,ambulance_heat stroke,,,,,,
2016-01-03,,,hospital wait time_emergency room,,,,,0.0,53.0
2016-01-10,,,air quality_chest pain,,,9.0,37.0,,
2016-01-10,28.0,0.0,ambulance_heat stroke,,,,,,
2016-01-10,,,hospital wait time_emergency room,,,,,0.0,50.0
2016-01-10,,,breathing problems_asthma attack,0.0,0.0,,,,
2016-01-17,31.0,0.0,ambulance_heat stroke,,,,,,
2016-01-17,,,breathing problems_asthma attack,0.0,93.0,,,,
2016-01-17,,,hospital wait time_emergency room,,,,,21.0,55.0
2016-01-17,,,air quality_chest pain,,,10.0,33.0,,
2016-01-24,,,hospital wait time_emergency room,,,,,0.0,45.0
2016-01-24,,,breathing problems_asthma attack,49.0,50.0,,,,
